game_state,move_number,move,number_of_games,win_percentage,value
"K10",2,"L9",79965,0.444,

"K10,L9",3,"N10",26532,0.649,
"K10,L9,N10",4,"N9",5351,0.420,0.349
"K10,L9,N10,N9",5,"M9",2621,0.696,-0.114
"K10,L9,N10,N9",5,"K8",1911,0.508,0.143
"K10,L9,N10,N9",5,"P8",552,0.411,0.032
"K10,L9,N10,N9",5,"K11",331,0.746,-0.069

"K10,L9,N10",4,"L11",4887,0.314,
"K10,L9,N10,L11",5,"L8",4398,0.712,0.163
"K10,L9,N10,L11",5,"L10",345,0.458,-0.137
"K10,L9,N10,L11",5,"N8",75,0.36,-0.086
"K10,L9,N10,L11",5,"K8",36,0.556,0.258

"K10,L9,N10",4,"J10",4102,0.399,
"K10,L9,N10,J10",5,"L8", 2400, 0.678,-0.077
"K10,L9,N10,J10",5,"L12", 605, 0.494,0.002
"K10,L9,N10,J10",5,"K12", 389, 0.522,0.129
"K10,L9,N10,J10",5,"K8", 179, 0.508,0.033
"K10,L9,N10,J10",5,"O10", 123, 0.78,-0.185

"K10,L9,N10",4,"J9",3373,0.306,
"K10,L9,N10,J9",5,"L8",4030,0.72,0.414
"K10,L9,N10,J9",5,"L10",505,0.59,-0.151
"K10,L9,N10,J9",5,"M9",269,0.651,0.317
"K10,L9,N10,J9",5,"L12",202,0.371,-0.221
"K10,L9,N10,J9",5,"K9",185,0.551,-0.073

"K10,L9,N10",4,"N11",1844,0.302,
"K10,L9,N10,N11",5,"K8", 1441, 0.712,0.086
"K10,L9,N10,N11",5,"M10", 312, 0.696,0.085
"K10,L9,N10,N11",5,"L12", 95, 0.695,-0.168
"K10,L9,N10,N11",5,"L8", 80, 0.637,0.107
"K10,L9,N10,N11",5,"M12", 42, 0.69,-0.459
"K10,L9,N10,N11",5,"K12", 31, 0.548,-0.198

"K10,L9,N10",4,"M11",954,0.432,
"K10,L9,N10,M11",5,"L8", 298, 0.614,-0.013
"K10,L9,N10,M11",5,"M12", 274, 0.562,0.427
"K10,L9,N10,M11",5,"N12", 221, 0.412,0.362
"K10,L9,N10,M11",5,"K8", 173, 0.382,0.219
"K10,L9,N10,M11",5,"K12", 142, 0.768,0.037
"K10,L9,N10,M11",5,"N8", 64, 0.719,0.393

"K10,L9",3,"O10",7907,0.517,-0.018
"K10,L9,O10",4,"L11",3786,0.5,-0.140
"K10,L9,O10,L11",5,"M10",1028,0.504,-0.212
"K10,L9,O10,L11",5,"L8",986,0.503,0.075
"K10,L9,O10,L11",5,"L10",830,0.53,0.140
"K10,L9,O10,L11",5,"M8",314,0.395,-0.658
"K10,L9,O10,L11",5,"N8",282,0.496,-0.427

"K10,L9,O10",4,"J9",1536,0.522,-0.031
"K10,L9,O10,J9",5,"M10", 4401, 0.486,-0.459
"K10,L9,O10,J9",5,"M12", 1071, 0.567,0.024
"K10,L9,O10,J9",5,"M9", 573, 0.398,-0.006
"K10,L9,O10,J9",5,"K9", 193, 0.451,0.031
"K10,L9,O10,J9",5,"M8", 187, 0.385,-0.452
"K10,L9,O10,J9",5,"M11", 42, 0.667,-0.307

"K10,L9,O10",4,"N9",555,0.445,-0.182
"K10,L9,O10,N9",5,"M10", 295, 0.566,-0.204
"K10,L9,O10,N9",5,"M12", 107, 0.495,-0.255
"K10,L9,O10,N9",5,"K8", 70, 0.6,0.103
"K10,L9,O10,N9",5,"M9", 55, 0.509,-0.012
"K10,L9,O10,N9",5,"O8", 49, 0.571,0.182

"K10,L9,O10",4,"L7",425,0.572,-0.205
"K10,L9,O10,L7",5,"M10", 357, 0.403,-0.185
"K10,L9,O10,L7",5,"M12", 85, 0.424,0.015
"K10,L9,O10,L7",5,"L8", 84, 0.607,0.187
"K10,L9,O10,L7",5,"L10", 21, 0.429,0.205

"K10,L9,O10",4,"N11",370,0.303,-0.194
"K10,L9,O10,N11",5,"M10", 335, 0.71,0.194
"K10,L9,O10,N11",5,"K8", 33, 0.606,0.032
"K10,L9,O10,N11",5,"O12", 19, 0.632,0.160
"K10,L9,O10,N11",5,"M12", 8, 0.875,-0.573
"K10,L9,O10,N11",5,"M8", 5, 0.8,0.001

"K10,L9,O10",4,"J10",267,0.528,0.018
"K10,L9,O10,J10",5,"M12", 171, 0.392,-0.234
"K10,L9,O10,J10",5,"M10", 143, 0.594,-0.047
"K10,L9,O10,J10",5,"M8", 18, 0.389,-0.018
"K10,L9,O10,J10",5,"K8", 13, 0.385,-0.244

"K10,L9",3,"N8",3172,0.608,
"K10,L9,N8", 4,"J9", 1078, 0.481,-0.202
"K10,L9,N8,J9",5,"L10",448,0.518,-0.017
"K10,L9,N8,J9",5,"M10",157,0.745,-0.007
"K10,L9,N8,J9",5,"O7",152,0.428,-0.388
"K10,L9,N8,J9",5,"L8",73,0.521,0.202
"K10,L9,N8,J9",5,"H10",11,0.909,-0.445

"K10,L9,N8", 4,"N9", 727, 0.465,-0.204
"K10,L9,N8,N9",5,"K8", 445, 0.528,0.204
"K10,L9,N8,N9",5,"K11", 128, 0.672,0.022
"K10,L9,N8,N9",5,"P10", 122, 0.426,0.190
"K10,L9,N8,N9",5,"M9", 57, 0.421,0.043
"K10,L9,N8,N9",5,"M7", 40, 0.475,-0.131

"K10,L9",3,"K14",19584,0.491,-1
"K10,L9",3,"K13",11182,0.563,-0.5
